ds,yhat,yhat_lower,yhat_upper,product_id
2024-01-01,-283.65934347132713,-2971.6055175184556,2517.2962866282714,JEW_00
2024-01-02,-364.72062146362975,-3063.918791571079,2241.3116746914648,JEW_00
2024-01-03,-356.89383754090704,-2979.2515919801667,2302.6758023372804,JEW_00
2024-01-04,-511.46380677336003,-3128.234693470483,2359.177088015786,JEW_00
2024-01-05,-460.7619389736065,-3217.093885863131,2056.2188739930402,JEW_00
2024-01-06,-356.26761000752106,-3134.075700634192,2290.471563724713,JEW_00
2024-01-07,-469.82400474102036,-3260.868606513762,2191.5482083653287,JEW_00
2024-01-08,-238.0185085155278,-2787.8592102318416,2354.9021552610234,JEW_00
2024-01-09,-319.0797865074347,-3123.9923204550164,2527.3209402726197,JEW_00
2024-01-10,-311.2530025853819,-3100.5588263357704,2359.4687721513114,JEW_00
2024-01-11,-465.82297181762016,-3433.687289739455,2165.100599245667,JEW_00
2024-01-12,-415.1211040169797,-3314.998809164089,2215.229292182875,JEW_00
2024-01-13,-310.6267750512324,-2834.3864560766538,2327.8647834103363,JEW_00
2024-01-14,-424.1831692696662,-2928.571269344118,2399.1256018732824,JEW_00
2024-01-15,-192.3776725293091,-2999.3058169920255,2540.1992352016964,JEW_00
2024-01-16,-273.4389500062779,-2921.562173885771,2532.7720771008667,JEW_00
2024-01-17,-265.612165569049,-3054.8818394251184,2380.033717878286,JEW_00
2024-01-18,-420.1821342864109,-2957.3977523001804,2414.978764695268,JEW_00
2024-01-19,-369.4802659704296,-3013.0073110795747,2330.3653378876656,JEW_00
2024-01-20,-264.985936490067,-2948.8361726481858,2160.181077752036,JEW_00
2024-01-21,-378.5423307088557,-3046.4385030243484,2217.7027072188457,JEW_00
2024-01-22,-146.73683396815431,-2742.2492234928623,2536.167564568414,JEW_00
2024-01-23,-227.79811144541276,-3055.2828783394484,2668.668362048289,JEW_00
2024-01-24,-219.97132700756669,-2927.4457720866562,2603.387572995456,JEW_00
2024-01-25,-374.54129598141867,-2800.0180284557473,2344.3275145415005,JEW_00
2024-01-26,-323.83942792074015,-2959.441262555073,2187.35394576903,JEW_00
2024-01-27,-219.34509869587583,-2912.4666056823175,2491.9866550486868,JEW_00
2024-01-28,-332.9014931702107,-2917.219639681285,2313.354822348014,JEW_00
2024-01-29,-101.095996685735,-2775.0942552842907,2668.5154103031027,JEW_00
2024-01-30,-182.1572744184963,-3116.2895049623644,2604.4690547914156,JEW_00
2024-01-31,-174.3304902363084,-2715.248446941933,2696.911589923388,JEW_00
2024-02-01,-328.9004592087056,-3035.711707774428,2370.8382005897442,JEW_00
2024-02-02,-278.1985911493412,-2805.773128852587,2387.23730427653,JEW_00
2024-02-03,-173.70426192474176,-3001.7680104535734,2712.072570672001,JEW_00
2024-02-04,-287.2606563988959,-2961.3916428990597,2316.756427431594,JEW_00
2024-02-05,-55.4551599141831,-2611.160578942046,2736.2113038603247,JEW_00
2024-02-06,-136.51643703046142,-2857.7689773466873,2538.353800068017,JEW_00
2024-02-07,-128.68965223197785,-2725.742002403775,2532.1689939834196,JEW_00
2024-02-08,-283.2596205880536,-2862.4156772830115,2353.42930103908,JEW_00
2024-02-09,-232.55775191208306,-3028.522114188405,2589.647903049615,JEW_00
2024-02-10,-128.06342207092712,-2721.4399292729972,2551.8332414936035,JEW_00
2024-02-11,-241.61981592824193,-2847.0217279640087,2331.4364176639424,JEW_00
2024-02-12,-9.814318826885994,-2769.578472567077,2888.1882527321463,JEW_00
2024-02-13,-90.87559594320962,-2922.8707856540286,2376.0384426117685,JEW_00
2024-02-14,-83.04881114453715,-2940.583179319416,2661.9790970009094,JEW_00
2024-02-15,-237.61877950072366,-2909.0997012595676,2353.0516582369796,JEW_00
2024-02-16,-186.91691082439954,-3093.497747451178,2472.2922137486657,JEW_00
2024-02-17,-82.42258098361538,-2697.1963510785117,2472.2879569855904,JEW_00
2024-02-18,-195.97897431933853,-3155.9052150519296,2399.558818225305,JEW_00
2024-02-19,35.826523303845306,-2702.7210811535324,2790.9894921367963,JEW_00
2024-02-20,-45.23475329068583,-2691.290267713143,2805.4669597112224,JEW_00
2024-02-21,-37.40796797024365,-2702.101165667913,2737.954743065478,JEW_00
2024-02-22,-191.97793580536126,-3066.966100986416,2317.3426958182276,JEW_00
2024-02-23,-141.27606660750024,-2802.8912468903286,2433.5643592644815,JEW_00
2024-02-24,-36.7817362443115,-2696.7092714766786,2680.084802201247,JEW_00
2024-02-25,-150.33812958027852,-2745.0949616522116,2462.774819738579,JEW_00
2024-02-26,81.4673680431386,-2934.305152653468,2730.4247200374093,JEW_00
2024-02-27,0.40609144831773847,-2688.2544391445726,2620.3214130229126,JEW_00
2024-02-28,8.232876768947733,-2757.6624135352045,2602.0449194447315,JEW_00
2024-02-29,-146.33709081621248,-2746.979505082559,2523.6931470267914,JEW_00
2024-03-01,-95.63522136817136,-2732.6383788755193,2667.9027204846534,JEW_00
2024-03-02,8.85910924450576,-2829.8490082578137,2738.0657142279856,JEW_00
2024-03-03,-104.69728384178995,-2618.2942039631803,2670.6026199139606,JEW_00
2024-03-04,127.10821403156842,-2596.9937151334784,2832.8372532187286,JEW_00
2024-03-05,46.04693768676157,-2667.4551506834396,2616.690901887969,JEW_00
2024-03-06,53.8737232563073,-2640.4028079113077,2597.714325222849,JEW_00
2024-03-07,-100.69624432803528,-2759.933657692928,2640.8232171388063,JEW_00
2024-03-08,-49.994374880241594,-2768.4746969327384,2670.238109466159,JEW_00
2024-03-09,54.49995573217058,-2829.7537757381547,2591.964311043048,JEW_00
2024-03-10,-59.05643735358831,-2528.6737570221903,2575.2110550260977,JEW_00
2024-03-11,172.74906051964732,-2605.9683761713363,2810.828639730421,JEW_00
2024-03-12,91.68778624277343,-2617.5620734624204,2826.6012715329425,JEW_00
2024-03-13,99.51457388097128,-2578.2413990015334,2611.802614613264,JEW_00
2024-03-14,-55.055391635259525,-2738.5166006623717,2666.02697674488,JEW_00
2024-03-15,-4.353520118889492,-2624.318934774503,2607.5779942632353,JEW_00
2024-03-16,100.14081256179793,-2703.9664771800926,2941.9861339249615,JEW_00
2024-03-17,-13.415578456517949,-2760.8983969395085,2552.9825082570856,JEW_00
2024-03-18,218.38992148483962,-2695.2203555391707,2964.203757596454,JEW_00
2024-03-19,137.32864720836153,-2555.643139348795,2907.7919192826957,JEW_00
2024-03-20,145.15543484674834,-2306.461334132833,2675.691714586774,JEW_00
2024-03-21,-9.414530670126737,-2506.2376097241718,2725.889983169169,JEW_00
2024-03-22,41.28734084659857,-2517.632334942937,3023.5243045912075,JEW_00
2024-03-23,145.78167710789796,-2542.6008030376806,2810.185459882537,JEW_00
2024-03-24,32.22528967092819,-2621.782769096419,2715.027216960068,JEW_00
2024-03-25,264.03079319300616,-2235.0865543035366,2914.6249727456243,JEW_00
2024-03-26,182.96952249708136,-2628.984097932983,2905.3902870566285,JEW_00
2024-03-27,190.79631371631126,-2430.1784392840264,3032.1336601950093,JEW_00
2024-03-28,36.226351781131314,-2419.698296707779,2645.0477782719,JEW_00
2024-03-29,86.92822687770308,-2377.8597582363,2987.6929805823893,JEW_00
2024-03-30,191.42256313987218,-2591.740029567233,2751.336893282075,JEW_00
2024-03-31,77.8661757025896,-2464.5910572611056,2730.616342968609,JEW_00
2024-04-01,309.67167922454894,-2318.6576759343006,3028.4354133531197,JEW_00
2024-04-02,228.61040852894405,-2513.4204231149884,2914.458901824299,JEW_00
2024-04-03,236.4371997486071,-2434.6973131057284,3010.8618896512417,JEW_00
2024-04-04,82.17505815865889,-2444.439132613343,2802.382216794118,JEW_00
2024-04-05,133.1847536020789,-2879.7068393906243,2881.9542668950667,JEW_00
2024-04-06,237.98691021047637,-2652.436405410688,2929.4711662215104,JEW_00
2024-04-07,124.7383431199903,-2558.364265073788,2909.849806834673,JEW_00
2024-04-08,356.8516669885496,-2416.047411873811,3073.9102899871455,JEW_00
2024-04-09,276.09821663939255,-2240.817871749105,3032.2786583371285,JEW_00
2024-04-10,284.23282820487873,-2469.942909099495,3051.2092645897415,JEW_00
2024-04-11,129.97068661514533,-2341.7829687502126,3087.762806061213,JEW_00
2024-04-12,180.98038205892072,-2542.556258777518,2907.788389582195,JEW_00
2024-04-13,285.782538667478,-2668.7952315814678,3004.1622364602395,JEW_00
2024-04-14,172.53397157698146,-2383.2467545698937,3103.734150303054,JEW_00
2024-04-15,404.6472954455444,-2322.525756587931,3026.1849906290604,JEW_00
2024-04-16,324.4875356774301,-2487.0040566547577,3128.968461503487,JEW_00
2024-04-17,333.21583782420123,-2219.4405543629196,2966.055973992668,JEW_00
2024-04-18,179.54738681545285,-2518.718972283086,2832.5711311852697,JEW_00
2024-04-19,231.1507728398608,-2433.660503307487,2951.429515207688,JEW_00
2024-04-20,336.5466200299591,-2401.116802955249,3240.315161576121,JEW_00
2024-04-21,223.89174352020353,-2445.261379087792,2754.7963112263874,JEW_00
2024-04-22,456.5987579702105,-2338.232790888371,3179.411197085338,JEW_00
2024-04-23,376.4389982018026,-2219.561774340577,2857.5245307157384,JEW_00
2024-04-24,385.1673003485735,-2207.8755401235608,3008.3457255963467,JEW_00
2024-04-25,231.49884933967985,-2400.370613188973,2863.58479551658,JEW_00
2024-04-26,283.10223536490554,-2441.3917399378606,3072.557960687424,JEW_00
2024-04-27,389.3239739469606,-2042.1968344323839,3179.742764696303,JEW_00
2024-04-28,277.4949888296457,-2383.219145228928,3026.0345316231956,JEW_00
2024-04-29,511.02789467140997,-2152.2987016254415,3261.9448745775117,JEW_00
2024-04-30,431.69402629586295,-2319.48544756401,2986.6399424275573,JEW_00
2024-05-01,441.2482198345898,-2399.8185352801734,3302.2275446609847,JEW_00
2024-05-02,288.40566021887696,-2415.1561389232656,2990.148177921183,JEW_00
2024-05-03,340.8349376351882,-2342.777951256769,3030.5906022070108,JEW_00
2024-05-04,447.05667621751,-2229.577452491858,3098.230048206583,JEW_00
2024-05-05,335.22769110049836,-2256.1115202970745,2986.6263016276876,JEW_00
2024-05-06,568.7605969423776,-2145.370477747227,3527.7139919041683,JEW_00
2024-05-07,489.42672856653684,-2166.76737691904,3395.02840682323,JEW_00
2024-05-08,498.9809221052635,-2449.181240987954,3285.234160352074,JEW_00
2024-05-09,347.1574526928975,-2316.6447743446342,3136.450014656897,JEW_00
2024-05-10,400.60582031365755,-2270.876106664695,3224.3702579024502,JEW_00
2024-05-11,507.8466490992029,-2053.4056644895772,3017.4156448541426,JEW_00
2024-05-12,397.03675418559766,-2260.185884944395,3131.870820260353,JEW_00
2024-05-13,631.5887502311454,-2075.190823048862,3218.848779386557,JEW_00
2024-05-14,553.2739720590614,-2270.1702666130263,3142.359522993306,JEW_00
2024-05-15,563.8472558012982,-2082.6786858257333,3310.7000901422866,JEW_00
2024-05-16,412.02378638942406,-2400.827192950915,3077.113754397713,JEW_00
2024-05-17,465.4721540099352,-2292.4071562019403,3150.778288190751,JEW_00
2024-05-18,572.7129827946839,-2226.479782004425,3448.851556215885,JEW_00
2024-05-19,461.90308788138174,-2116.1050773127786,3205.3805128031713,JEW_00
2024-05-20,696.4550839270441,-2030.6252528821717,3392.838239156138,JEW_00
2024-05-21,619.3134752291876,-2101.6383829517627,3190.689771547943,JEW_00
2024-05-22,631.059928446562,-2202.4983665364643,3210.4675362059716,JEW_00
2024-05-23,480.4096285083765,-2220.250966504076,3246.910928663887,JEW_00
2024-05-24,535.0311656032313,-2230.932221341933,3246.80329459667,JEW_00
2024-05-25,643.4451638636169,-2093.457981732408,3327.0580962169856,JEW_00
2024-05-26,533.8084384241672,-1945.571329490753,3325.131133013591,JEW_00
2024-05-27,769.5336039441381,-1758.7451014764556,3514.7481159509343,JEW_00
2024-05-28,692.3919952464366,-1913.8768837465916,3485.1783618380496,JEW_00
2024-05-29,704.1384484642404,-2024.942094982393,3386.715037591807,JEW_00
2024-05-30,553.4881485259443,-2168.5522979872558,3232.1052357436356,JEW_00
2024-05-31,608.109685621153,-1898.1018023539957,3343.021794980674,JEW_00
2024-06-01,717.7537375051253,-1924.0247188656956,3429.7764589284216,JEW_00
2024-06-02,609.3470656903619,-1989.637710029419,3266.7629664745873,JEW_00
2024-06-03,846.3022848348312,-1750.2112009041755,3752.509008499592,JEW_00
2024-06-04,770.3907297617006,-1850.4610651511198,3564.340376950017,JEW_00
2024-06-05,783.367236602978,-2021.8903849115634,3400.2126548422043,JEW_00
2024-06-06,633.9469902898134,-2109.4946195467387,3283.5603455810233,JEW_00
2024-06-07,689.798581008942,-2105.5163186908785,3595.9988861662932,JEW_00
2024-06-08,799.442632892935,-1814.0409765217069,3701.3259527671717,JEW_00
2024-06-09,691.0359610787083,-2162.271500373481,3277.141347964836,JEW_00
2024-06-10,927.9911802230553,-1688.3940797900823,3534.9754003915396,JEW_00
2024-06-11,852.0796251496349,-1956.7000084822878,3557.1918807282673,JEW_00
2024-06-12,865.0561319915291,-1925.8760150141775,3480.7418259274114,JEW_00
2024-06-13,716.872115509573,-2036.8102023527529,3347.817254252243,JEW_00
2024-06-14,773.9599360605619,-1913.7226612387194,3398.307589668834,JEW_00
2024-06-15,884.8402177761147,-1777.0190199390113,3667.793151853906,JEW_00
2024-06-16,777.6697757926152,-1715.3442180369861,3522.2082954734396,JEW_00
2024-06-17,1015.8612247688134,-1762.197619519803,3724.9874513330346,JEW_00
2024-06-18,941.1858995269829,-1747.3117000950165,3698.5636130248513,JEW_00
2024-06-19,955.3986362000112,-1838.8521063537187,3860.8381906847826,JEW_00
2024-06-20,807.2146197178404,-1852.6698996426596,3268.7232283746393,JEW_00
2024-06-21,864.3024402691847,-1816.3733266773083,3353.3785731393923,JEW_00
2024-06-22,975.1827219844724,-1828.965395555372,3540.561129592155,JEW_00
2024-06-23,868.0122800013871,-1815.8419243840021,3566.612435279721,JEW_00
2024-06-24,1106.2037289775853,-1682.6132027370475,3681.5759460466456,JEW_00
2024-06-25,1032.7742878976574,-1708.5102395601543,3720.2971923338378,JEW_00
2024-06-26,1048.2329087333064,-1754.3412023340131,3756.901125685107,JEW_00
2024-06-27,901.2947764137501,-1737.5316407327755,3542.108031421206,JEW_00
