ds,yhat,yhat_lower,yhat_upper,product_id
2024-01-01,1342785.187143356,-8608657.930232592,10545617.038213754,ELE_09
2024-01-02,645321.3429216127,-9144702.057452438,10869700.27341416,ELE_09
2024-01-03,181050.7090923739,-10014724.836140087,10013221.984561946,ELE_09
2024-01-04,-774821.3278018234,-10691996.788128411,8801918.977309935,ELE_09
2024-01-05,487503.3147177548,-8945047.192261634,10263187.009371,ELE_09
2024-01-06,491892.41639310506,-9347562.339712998,9931467.481671484,ELE_09
2024-01-07,-864220.7915347801,-11093608.420670804,9204523.485485597,ELE_09
2024-01-08,1329581.2784299164,-8665286.857674498,11364477.696415422,ELE_09
2024-01-09,632117.434212364,-8648445.099693732,11179332.178183915,ELE_09
2024-01-10,167846.80037891882,-9713953.815901369,10089608.869568026,ELE_09
2024-01-11,-788025.2365131623,-9893732.27535633,9365689.082660874,ELE_09
2024-01-12,474299.4060125908,-9084842.457303852,10769169.52129657,ELE_09
2024-01-13,478688.507688408,-9257414.616391025,10449032.899340354,ELE_09
2024-01-14,-877424.7021604031,-11187220.102958675,9167673.07074581,ELE_09
2024-01-15,1316377.3658845464,-8779794.400914371,11296694.539782602,ELE_09
2024-01-16,618913.5197466583,-9201751.35912857,10807087.55560524,ELE_09
2024-01-17,154642.88399587778,-9207952.689144293,9633811.909757985,ELE_09
2024-01-18,-801229.1548146631,-10831737.082601175,9049846.881908132,ELE_09
2024-01-19,461095.4857945126,-9771282.777287908,10327773.632602077,ELE_09
2024-01-20,465484.5855478425,-9554960.199329624,10759979.821695207,ELE_09
2024-01-21,-890628.624303831,-11084407.65385759,8435916.245809842,ELE_09
2024-01-22,1303173.4437450818,-8039644.373422351,11196192.707908046,ELE_09
2024-01-23,605709.5976044834,-9507631.707422387,10591197.865660992,ELE_09
2024-01-24,141438.96185924092,-10287624.860956559,9745599.839980062,ELE_09
2024-01-25,-814433.0762244065,-10224091.667436015,8297483.639415911,ELE_09
2024-01-26,447891.5651200306,-9085629.715529066,10788720.564692825,ELE_09
2024-01-27,452280.6656072633,-9789615.162689323,10987127.537011769,ELE_09
2024-01-28,-903832.5435090535,-11462595.414757943,8671453.86305135,ELE_09
2024-01-29,1289969.525266552,-8345010.905270991,10767377.405591521,ELE_09
2024-01-30,592505.6798622808,-9019793.306101663,10802673.988500467,ELE_09
2024-01-31,128235.04485019912,-10240786.063527925,10223386.478149911,ELE_09
2024-02-01,-827636.9932258208,-10935633.426370395,8948764.858373778,ELE_09
2024-02-02,434687.64811219263,-8982724.167573746,10519504.261103055,ELE_09
2024-02-03,439076.748596288,-9319358.671447089,10120265.324623689,ELE_09
2024-02-04,-917036.4605180206,-11794155.129146805,8086440.801867914,ELE_09
