ds,yhat,yhat_lower,yhat_upper,product_id
2024-01-01,4047714.269339525,-74508363.69938649,84899248.26923929,TOY_02
2024-01-02,1052676.917574282,-84492642.57858074,78723543.05522871,TOY_02
2024-01-03,2420046.8759703664,-73783554.38123375,82659938.7542694,TOY_02
2024-01-04,3950091.152813771,-77040477.31379919,83520187.5694738,TOY_02
2024-01-05,4002654.0480523324,-73628038.4997863,88072158.23492998,TOY_02
2024-01-06,12382981.7595959,-66954467.916343965,95518952.04288934,TOY_02
2024-01-07,2490608.1771856537,-80771872.01657522,86769592.7163307,TOY_02
2024-01-08,3706742.5310936933,-74395036.56063111,86955641.22340089,TOY_02
2024-01-09,711705.1793327912,-75111837.10220912,80356562.82736903,TOY_02
2024-01-10,2079075.1376950904,-74803631.27495627,83946574.52537064,TOY_02
2024-01-11,3609119.4145526476,-75520094.68290325,82120486.3601608,TOY_02
2024-01-12,3661682.309819114,-74564071.4250441,85556207.84185204,TOY_02
2024-01-13,12042010.021351542,-68277715.92479293,91058840.86046956,TOY_02
2024-01-14,2149636.422093382,-79377489.34158048,76780252.02743945,TOY_02
2024-01-15,3365770.7591693862,-80275354.18488424,81765273.54813677,TOY_02
2024-01-16,370733.39058225846,-81389113.71573733,79877671.4629057,TOY_02
2024-01-17,1738103.3321192416,-78380316.43590967,82108944.15599793,TOY_02
2024-01-18,3268147.5921295676,-74465417.15632279,78649191.12342143,TOY_02
2024-01-19,3320710.470567811,-76169576.93343301,83649352.07931884,TOY_02
2024-01-20,11701038.165250393,-65980336.94394614,92658245.6775454,TOY_02
2024-01-21,1808664.565994836,-79775898.69560066,82365151.68401794,TOY_02
2024-01-22,3024798.903063342,-75277366.89963387,83424733.24880852,TOY_02
2024-01-23,29761.534465737728,-81544098.88835977,82386104.49899137,TOY_02
2024-01-24,1397131.476014981,-82578009.66290128,80942669.2218488,TOY_02
2024-01-25,2927175.7528021005,-71118149.76322392,87006572.31313194,TOY_02
2024-01-26,2979738.6480431035,-76830086.59604909,84564641.2354529,TOY_02
2024-01-27,11360066.35951351,-68652343.6259749,90415238.87105757,TOY_02
2024-01-28,1467692.777036832,-79217244.87371369,82848536.65483588,TOY_02
2024-01-29,2683827.1309035188,-81628363.43811719,87079163.67282775,TOY_02
2024-01-30,-311210.22092225496,-81833830.06613348,76924670.28207418,TOY_02
2024-01-31,1056159.7374242991,-88956741.8819871,75932687.07468462,TOY_02
2024-02-01,2586204.014254963,-82289950.37870668,83426914.90832943,TOY_02
2024-02-02,2638766.9094588356,-75507235.4644342,82566086.42102538,TOY_02
2024-02-03,11019094.620924909,-70454084.18523705,94508265.97414882,TOY_02
2024-02-04,1126721.0384718464,-80775511.8663361,85318375.32287993,TOY_02
2024-02-05,2342855.3923287997,-78202021.62009382,81520092.99302047,TOY_02
2024-02-06,-652181.9664816877,-78244967.93328281,79750525.70274489,TOY_02
2024-02-07,715187.9848733618,-80686893.31523207,79920395.44930439,TOY_02
2024-02-08,2245232.2547156434,-74908276.9690026,80399456.80671626,TOY_02
2024-02-09,2297795.1429332695,-75045148.37199077,83828916.065874,TOY_02
2024-02-10,10678122.847435674,-69554795.86413006,93432861.14691795,TOY_02
2024-02-11,785749.2580032509,-77140487.23800923,86526102.2648252,TOY_02
2024-02-12,2001883.6048637738,-77179223.91350795,80897023.67620955,TOY_02
2024-02-13,-993153.7539218834,-81462257.72481677,80579369.1092785,TOY_02
2024-02-14,374216.1974441982,-82825511.36423935,81813624.6741026,TOY_02
2024-02-15,1904260.4672755967,-82770649.427743,77827424.89721304,TOY_02
2024-02-16,1956823.3555013463,-78166286.1665807,76809583.77493455,TOY_02
2024-02-17,10337151.059990253,-72623730.3671877,85559767.79875933,TOY_02
2024-02-18,444777.45948203094,-77909404.69972023,77928363.588881,TOY_02
2024-02-19,1660911.7952831732,-75986083.89732186,91822000.28211159,TOY_02
2024-02-20,-1334125.5745852645,-80747309.98147783,77134055.76991561,TOY_02
2024-02-21,33244.36572505254,-79942002.51257645,78047474.79687193,TOY_02
2024-02-22,1563288.6244532918,-84654047.48836023,79176839.71522327,TOY_02
2024-02-23,1615851.5016079838,-76510319.93073116,83861994.78321409,TOY_02
2024-02-24,9996179.195037363,-71578302.95117576,87510151.6718107,TOY_02
2024-02-25,103805.59454868874,-79189385.09409629,78381586.6222225,TOY_02
2024-02-26,1319939.930325389,-81856949.8188379,81959319.57243966,TOY_02
2024-02-27,-1675097.4395535253,-83577179.27393696,77473238.49252667,TOY_02
2024-02-28,-307727.49925335543,-75800386.44384979,78824479.88202524,TOY_02
2024-02-29,1222316.8061106687,-80255216.04494144,86549147.4671999,TOY_02
2024-03-01,1274879.729878377,-88323102.64522897,81503623.57272807,TOY_02
2024-03-02,9655207.469901508,-73777337.72517657,92820579.74754673,TOY_02
2024-03-03,-237166.08398793545,-81015988.75316237,82693241.4484971,TOY_02
2024-03-04,978968.2984067705,-83573684.38112018,80702016.24892941,TOY_02
2024-03-05,-2016069.0248512405,-84700117.4763623,75930471.24985307,TOY_02
2024-03-06,-648699.0380005627,-88782558.07972315,76655314.46625762,TOY_02
2024-03-07,881345.2673898544,-81337254.05363886,82162607.9538227,TOY_02
2024-03-08,933908.1911599925,-78026079.96521728,83181606.05020872,TOY_02
2024-03-09,9314235.931178791,-61825121.893065855,93615449.74248408,TOY_02
2024-03-10,-578137.6227157926,-78945030.15344661,83709635.68219815,TOY_02
2024-03-11,637996.7596832267,-77984761.66949649,78951711.77609245,TOY_02
2024-03-12,-2357040.5954164285,-73380877.83911386,77099412.59484248,TOY_02
2024-03-13,-989670.6403652893,-76319430.87875961,84597638.33693612,TOY_02
2024-03-14,540373.6331830765,-78764074.07276876,82813572.49463627,TOY_02
2024-03-15,592936.5251301732,-72613000.48851708,84241839.37431762,TOY_02
2024-03-16,8973264.233308371,-72872741.08466272,86905769.7145277,TOY_02
2024-03-17,-919109.3524188437,-78991577.60447127,76603322.64858419,TOY_02
2024-03-18,297024.9981472902,-78370533.05742708,81439706.67285725,TOY_02
2024-03-19,-2698012.3569480246,-78488237.72750509,79167024.17903608,TOY_02
2024-03-20,-1330642.4018858531,-80287386.5312748,82606327.85825366,TOY_02
2024-03-21,199401.87163184956,-75958066.44779351,81056504.89297156,TOY_02
2024-03-22,251964.76359361503,-77704018.45266663,83712190.08907467,TOY_02
2024-03-23,8632292.521049563,-75491728.19310768,87364964.8804981,TOY_02
2024-03-24,-1260081.0154054326,-74453738.32558678,77644407.97199064,TOY_02
2024-03-25,-43946.61555526685,-79317037.1869899,82079335.58070561,TOY_02
2024-03-26,-3038983.921381338,-82077568.78305729,81389144.66662425,TOY_02
2024-03-27,-1671613.917030225,-76987346.86850996,79817808.56370991,TOY_02
2024-03-28,-141569.5942014982,-78852087.8123639,81671405.88232407,TOY_02
2024-03-29,-89006.65300569218,-89920877.82876007,76147587.8182944,TOY_02
2024-03-30,8291321.104474846,-73212648.07675593,84748185.617444,TOY_02
2024-03-31,-1601052.4319934214,-82276593.08001044,74090235.620897,TOY_02
2024-04-01,-384918.0321242353,-82376621.48336343,81068403.88320412,TOY_02
2024-04-02,-3379955.3379399953,-84442019.76542276,74420628.84807158,TOY_02
2024-04-03,-2012585.33358971,-79473131.08410561,76792392.30706297,TOY_02
2024-04-04,-482541.0820170264,-77917220.35741907,80001002.15169999,TOY_02
2024-04-05,-429978.2120288904,-83673445.34919763,80520717.05554707,TOY_02
2024-04-06,7950349.474224975,-72024223.1855083,83503071.20237587,TOY_02
2024-04-07,-1942024.1334648686,-83333678.92360005,79276764.42684463,TOY_02
2024-04-08,-725889.8048343253,-80060081.34844114,78836390.48919275,TOY_02
2024-04-09,-3720927.1818475956,-83234286.11562869,75098170.91897488,TOY_02
2024-04-10,-2353557.2487534364,-81391416.95305331,81038864.49019912,TOY_02
2024-04-11,-823512.9971665996,-82842433.1113235,75287076.31453538,TOY_02
2024-04-12,-770950.1271637934,-81890863.51340295,74796580.00055726,TOY_02
2024-04-13,7609377.55908981,-71946636.22744432,88254993.59073672,TOY_02
2024-04-14,-2282996.0485863956,-81238625.77217895,75234168.17861189,TOY_02
2024-04-15,-1066861.719959679,-82447308.84621911,81152669.04023406,TOY_02
2024-04-16,-4061899.1631919043,-85559869.14948176,74462715.76636013,TOY_02
2024-04-17,-2694529.29630108,-82969377.36763129,68812240.68228053,TOY_02
2024-04-18,-1164485.1109394943,-81220192.16818394,76850998.44363376,TOY_02
2024-04-19,-1111922.3071769536,-79907921.57387963,81971681.95978084,TOY_02
2024-04-20,7268405.312882809,-73086337.1289362,84809686.7666296,TOY_02
2024-04-21,-2623968.361005159,-84066018.07510711,69006126.68574059,TOY_02
2024-04-22,-1407834.098585602,-85479294.65773748,77803889.52538241,TOY_02
2024-04-23,-4402871.54184301,-84758415.65636112,82405541.59753507,TOY_02
2024-04-24,-3035501.6749429638,-78822010.71849327,78520219.12925631,TOY_02
2024-04-25,-1505457.4895971734,-88600160.16651033,74739047.9113228,TOY_02
2024-04-26,-1452894.685799188,-81165963.18940298,79187602.64372258,TOY_02
