ds,yhat,yhat_lower,yhat_upper,product_id
2024-01-01,65.63272018729964,57.11912467309326,74.64067785644649,TOY_08
2024-01-02,64.80829902847559,56.12384734437258,73.61895523192193,TOY_08
2024-01-03,61.65272593550239,53.23414257322661,70.2718440809944,TOY_08
2024-01-04,60.12899801383627,51.569693304241206,69.0717733272182,TOY_08
2024-01-05,58.3557060484592,50.245342980937835,66.87918923526318,TOY_08
2024-01-06,61.55118890505637,53.111966272281066,70.70110013683923,TOY_08
2024-01-07,64.80426238822493,56.5438341710706,73.28592760186723,TOY_08
2024-01-08,61.67184402292337,52.57340896810954,70.01204925949838,TOY_08
2024-01-09,60.8474228640912,51.98788957653061,68.91633240149773,TOY_08
2024-01-10,57.691849771121134,49.059494091500476,66.38435405416696,TOY_08
2024-01-11,56.16812184945479,47.96265386161406,64.24858167688629,TOY_08
2024-01-12,54.39482988407239,45.3724501883706,62.29314670963786,TOY_08
2024-01-13,57.590312740656,49.17619090848536,66.77610881306406,TOY_08
2024-01-14,60.84338622511476,52.89920048367421,69.42287162446158,TOY_08
2024-01-15,57.71096786109042,49.922377443134,66.14758152199089,TOY_08
2024-01-16,56.886546703536155,48.672239798879716,65.49258680476446,TOY_08
2024-01-17,53.73097361184011,44.95496457285453,62.42204680601067,TOY_08
2024-01-18,52.207245691450694,43.34856087682072,60.504765315585644,TOY_08
2024-01-19,50.43395372734433,41.707428183292095,58.86963252581597,TOY_08
2024-01-20,53.629436585209724,44.47290532340891,61.54584871159122,TOY_08
2024-01-21,56.882510069672634,48.91400630586264,65.86870393094141,TOY_08
2024-01-22,53.75009170563972,45.23068942513306,62.100004714228575,TOY_08
2024-01-23,52.92567054808712,44.25860874539752,61.5848389821989,TOY_08
2024-01-24,49.77009745639741,41.02981614426838,58.624112410091854,TOY_08
2024-01-25,48.24636952698408,39.63272366249713,56.82526584241787,TOY_08
2024-01-26,46.47307755385806,37.2121451375378,55.25178069046254,TOY_08
2024-01-27,49.668560402702504,41.56499883918136,58.387815059836974,TOY_08
2024-01-28,52.92163387813998,44.206951531083526,61.52334538996404,TOY_08
2024-01-29,49.789215505097125,41.88615492986974,58.44180693820856,TOY_08
2024-01-30,48.96479433851623,40.60764461216195,57.54413216653829,TOY_08
2024-01-31,45.80922123780641,37.34152546294365,54.176932987110185,TOY_08
2024-02-01,44.28549330839033,36.44915277377528,52.362303108004106,TOY_08
2024-02-02,42.51220133527028,34.08289424952861,50.95959784279597,TOY_08
2024-02-03,45.707684184119984,37.72257332462168,53.968426620097546,TOY_08
2024-02-04,48.960757659548094,39.84983165897041,57.434705247725184,TOY_08
2024-02-05,45.828339286506775,37.571344538563224,55.01260417733651,TOY_08
2024-02-06,45.00391812019092,37.17109643941335,53.691729265663575,TOY_08
2024-02-07,41.848345019747484,33.30660661982646,49.888588549200186,TOY_08
2024-02-08,40.324617090600015,31.719223366679113,48.8473905234863,TOY_08
2024-02-09,38.5513251177391,30.34157737525854,46.872548606718354,TOY_08
2024-02-10,41.746807966867664,33.3082381598218,50.21268391797621,TOY_08
2024-02-11,44.99988144255542,36.78934521299464,53.23649617358785,TOY_08
2024-02-12,41.86746306977375,33.54408039571097,50.3984550881506,TOY_08
2024-02-13,41.04304190346187,32.27350223519239,50.03240704959933,TOY_08
2024-02-14,37.88746880301599,29.64899990399218,46.230144205700235,TOY_08
2024-02-15,36.363740873869,27.789605226491194,44.749838353004606,TOY_08
2024-02-16,34.59044890100763,25.649146349912403,43.291585051796716,TOY_08
2024-02-17,37.785931750141536,29.418466113304884,46.359305548783475,TOY_08
2024-02-18,41.039005224869925,32.85475407577973,49.39724071787986,TOY_08
2024-02-19,37.90658685112795,29.345097963828234,46.546702658803014,TOY_08
2024-02-20,37.082165683860566,29.130392410244188,45.678684146104665,TOY_08
2024-02-21,33.92659258244898,25.0700445405778,42.10480692235559,TOY_08
2024-02-22,32.402864652348455,23.70881666804482,40.833985544416905,TOY_08
2024-02-23,30.62957267853485,22.192259953856002,39.34534126998329,TOY_08
2024-02-24,33.825055526703224,25.626443194826727,42.45102159200927,TOY_08
2024-02-25,37.07812900142818,28.243063069559984,45.55603814383332,TOY_08
2024-02-26,33.94571062768525,25.13720999838898,42.44128915902509,TOY_08
2024-02-27,33.1212894604195,24.29826512343578,40.8490828099126,TOY_08
2024-02-28,29.965716359017055,21.67756315744207,38.00301115362233,TOY_08
2024-02-29,28.465994303973755,19.235872845406778,37.282456024776735,TOY_08
2024-03-01,26.716708205228198,17.79806980362885,35.330483919107536,TOY_08
2024-03-02,29.93619692845151,21.571127760118355,38.921421275808,TOY_08
2024-03-03,33.21327627826335,24.3842583515061,42.22420232593106,TOY_08
2024-03-04,30.104863779587504,22.00378577875682,38.824091017805834,TOY_08
2024-03-05,29.304448487389077,20.78082495466733,37.92670155155762,TOY_08
2024-03-06,26.172881261058432,17.70734651069194,34.404719534017424,TOY_08
2024-03-07,24.673159206019296,16.21081213615295,33.07876872335423,TOY_08
2024-03-08,22.92387310726999,14.392140174797444,31.863901559101187,TOY_08
2024-03-09,26.143361830498556,18.272748767913566,35.54158216385833,TOY_08
2024-03-10,29.420441180299363,21.200367726442337,37.838434368004634,TOY_08
2024-03-11,26.312028681624263,17.743420291057337,34.58979504972927,TOY_08
2024-03-12,25.629663997646652,16.682080306493223,34.190745880423556,TOY_08
2024-03-13,22.616147379532585,13.504811023336076,31.14765642355961,TOY_08
2024-03-14,21.234475932713114,12.880725291494205,29.646664020792816,TOY_08
2024-03-15,19.603240442182525,11.059106904208846,28.1387661783176,TOY_08
2024-03-16,22.940779773629718,14.341594533759567,31.163452987799513,TOY_08
2024-03-17,26.335909731659758,17.434561128526777,35.180475418185345,TOY_08
2024-03-18,23.345547841204876,14.651242391209538,32.268049228469515,TOY_08
