ds,yhat,yhat_lower,yhat_upper,product_id
2024-01-01,42720.59279227947,-657947.2190925479,735444.282293177,FOO_06
2024-01-02,-76952.5136900281,-825152.3927313016,614452.2976674879,FOO_06
2024-01-03,-68084.82582660488,-741479.383406584,644063.5107692307,FOO_06
2024-01-04,-78337.1259829855,-756580.3059625099,607567.4793714249,FOO_06
2024-01-05,-189582.52116291987,-862645.194825255,443064.0203242636,FOO_06
2024-01-06,-745.2877171094988,-691022.6243282033,761376.6908611142,FOO_06
2024-01-07,212714.32323358214,-483946.9351882697,893702.8227256107,FOO_06
2024-01-08,44626.705468468426,-685941.1913995408,791835.5326831788,FOO_06
2024-01-09,-75046.40101462607,-778565.6844372255,587183.4214101853,FOO_06
2024-01-10,-66178.71315107566,-735090.3268938442,634832.3992880783,FOO_06
2024-01-11,-76431.01330757597,-784407.9221157604,629435.7258325095,FOO_06
2024-01-12,-187676.40848758715,-891437.4011905727,497908.49845881417,FOO_06
2024-01-13,1160.8249573266946,-714460.5770940105,692074.9855363944,FOO_06
2024-01-14,214620.4359032734,-486492.6266476933,891451.8672199385,FOO_06
2024-01-15,46532.81813238079,-678911.7697751838,743334.8667576732,FOO_06
2024-01-16,-73140.28835620351,-810732.3108682925,628695.3324199988,FOO_06
2024-01-17,-64272.60049829466,-766140.8866020179,668232.3241465671,FOO_06
2024-01-18,-74524.90066057455,-748918.0187994775,642050.1752633736,FOO_06
2024-01-19,-185770.29584621327,-890582.4158584182,506959.7115505737,FOO_06
2024-01-20,3066.9375933086067,-670949.1719456322,698917.0670859044,FOO_06
2024-01-21,216526.548539251,-490821.90322066686,925212.9520899666,FOO_06
2024-01-22,48438.930767994076,-693243.5749844844,706376.8679780471,FOO_06
2024-01-23,-71234.17572043107,-802317.0719223162,595574.838731744,FOO_06
2024-01-24,-62366.48786265748,-829653.7175288396,640176.6317269208,FOO_06
2024-01-25,-72618.78802903053,-760935.8645983328,635328.436205238,FOO_06
2024-01-26,-183864.18321885093,-899091.6588391184,456592.3560419951,FOO_06
2024-01-27,4973.050216550035,-705599.7861995015,691954.0600837598,FOO_06
2024-01-28,218432.66115799607,-426777.90883794613,964361.5446192232,FOO_06
2024-01-29,50345.043383330194,-681618.3092107539,741476.2984649834,FOO_06
2024-01-30,-69328.06311013958,-784106.3508742757,658137.103224361,FOO_06
2024-01-31,-60460.37525652919,-789744.6888263943,635256.4157108156,FOO_06
2024-02-01,-70712.67542275877,-772918.6630886882,628149.8332436753,FOO_06
2024-02-02,-181958.07061272266,-903488.2955297873,535832.6630573962,FOO_06
2024-02-03,6879.162822951008,-650675.0948722555,693749.1553541035,FOO_06
2024-02-04,220338.7737639957,-470799.3636069172,927922.0061123299,FOO_06
